"Model","Weibull_shape","Censoring","Censoring_label","IPCW_method","nsim","Estimator","Parameter","True","Estimate","Bias","Rel_Bias","Empirical_SD","Mean_SE","Coverage","Success"
"Model 2",2,"none","(a) no censoring","ind",1000,"IPCW-only","Albumin",-1.159,-1.16913469405808,-0.0101346940580791,0.0087443434495937,0.175312835944404,0.17014288140774,0.947,1000
"Model 2",2,"none","(a) no censoring","ind",1000,"Stacked-GMM","Intercept",-1.234,-1.22681731472991,0.00718268527009158,-0.0058206525689559,0.795695102359875,0.780105962784892,0.946,1000
"Model 2",2,"none","(a) no censoring","ind",1000,"Stacked-GMM","Age",0.0387,0.0390173662686853,0.000317366268685351,0.00820067877739926,0.00704368483567769,0.00708934093588303,0.958,1000
"Model 2",2,"none","(a) no censoring","ind",1000,"Stacked-GMM","LogBili",0.8371,0.839965057370877,0.00286505737087683,0.00342259869893302,0.0728323308900076,0.0722395437811894,0.945,1000
"Model 2",2,"none","(a) no censoring","ind",1000,"Stacked-GMM","Albumin",-1.159,-1.16924813594525,-0.0102481359452502,0.00884222255845574,0.175330376607389,0.170141104739162,0.947,1000
"Model 2",2,"independent","(b) independent censoring","ind",1000,"PO-only","Intercept",-1.234,-1.18962824336394,0.0443717566360637,-0.0359576634003758,1.27933528444459,1.20055555796257,0.933,1000
"Model 2",2,"independent","(b) independent censoring","ind",1000,"PO-only","Age",0.0387,0.0401634693228492,0.00146346932284924,0.037815744776466,0.0115610927989983,0.0106564875418228,0.93,1000
"Model 2",2,"independent","(b) independent censoring","ind",1000,"PO-only","LogBili",0.8371,0.856540759834333,0.0194407598343329,0.0232239395942336,0.118058877965107,0.117309136850281,0.934,1000
"Model 2",2,"independent","(b) independent censoring","ind",1000,"PO-only","Albumin",-1.159,-1.20112996571061,-0.0421299657106087,0.0363502723991447,0.301505521410725,0.277167647439415,0.919,1000
"Model 2",2,"independent","(b) independent censoring","ind",1000,"IPCW-only","Intercept",-1.234,-1.27241145858926,-0.0384114585892612,0.0311276001533721,1.04056018119476,0.991078409385264,0.937,1000
"Model 2",2,"independent","(b) independent censoring","ind",1000,"IPCW-only","Age",0.0387,0.0392021531279625,0.000502153127962458,0.0129755330222857,0.00943953734401827,0.00909220220403202,0.941,1000
"Model 2",2,"independent","(b) independent censoring","ind",1000,"IPCW-only","LogBili",0.8371,0.841770593377485,0.00467059337748466,0.0055794927457707,0.0953210115820999,0.0921243385471254,0.948,1000
"Model 2",2,"independent","(b) independent censoring","ind",1000,"IPCW-only","Albumin",-1.159,-1.15720689120755,0.00179310879245409,-0.00154711716346341,0.220140202535234,0.213237919928191,0.942,1000
"Model 2",2,"independent","(b) independent censoring","ind",1000,"Stacked-GMM","Intercept",-1.234,-1.2303242475106,0.00367575248940066,-0.0029787297320913,1.01581942786019,0.982514534228066,0.939,1000
"Model 2",2,"independent","(b) independent censoring","ind",1000,"Stacked-GMM","Age",0.0387,0.0392846418363606,0.000584641836360596,0.0151070241953642,0.00938581266000236,0.00906340589823528,0.941,1000
"Model 2",2,"independent","(b) independent censoring","ind",1000,"Stacked-GMM","LogBili",0.8371,0.839964471429126,0.00286447142912649,0.00342189873268008,0.0920289308770427,0.091349945361376,0.953,1000
"Model 2",2,"independent","(b) independent censoring","ind",1000,"Stacked-GMM","Albumin",-1.159,-1.16943001038729,-0.0104300103872865,0.00899914614951383,0.21539843249758,0.212172504481918,0.951,1000
"Model 2",2,"group_specific","(c) group-specific censoring","gs",1000,"PO-only","Intercept",-1.234,-0.869335016396878,0.364664983603122,-0.295514573422303,1.19586555779513,1.11431682158553,0.918,1000
"Model 2",2,"group_specific","(c) group-specific censoring","gs",1000,"PO-only","Age",0.0387,0.0407488566646337,0.0020488566646337,0.0529420326778733,0.0101614154019397,0.0100099144252358,0.941,1000
"Model 2",2,"group_specific","(c) group-specific censoring","gs",1000,"PO-only","LogBili",0.8371,0.857088553664598,0.0199885536645985,0.023878334326363,0.116730430244602,0.104326572080488,0.913,1000
"Model 2",2,"group_specific","(c) group-specific censoring","gs",1000,"PO-only","Albumin",-1.159,-1.25088129369578,-0.0918812936957822,0.0792763534907526,0.28206670099769,0.25811676366653,0.91,1000
"Model 2",2,"group_specific","(c) group-specific censoring","gs",1000,"IPCW-only","Intercept",-1.234,-1.21074409298201,0.0232559070179861,-0.0188459538233275,1.04180329411907,1.00984556772535,0.941,1000
"Model 2",2,"group_specific","(c) group-specific censoring","gs",1000,"IPCW-only","Age",0.0387,0.0389693778079078,0.000269377807907756,0.00696066687100144,0.00911505821949233,0.00906320224432325,0.945,1000
"Model 2",2,"group_specific","(c) group-specific censoring","gs",1000,"IPCW-only","LogBili",0.8371,0.842522900472577,0.0054229004725771,0.0064781991071283,0.10414324176331,0.101998884542091,0.941,1000
"Model 2",2,"group_specific","(c) group-specific censoring","gs",1000,"IPCW-only","Albumin",-1.159,-1.17561546458729,-0.016615464587286,0.0143360350192287,0.220464037109207,0.215814038389,0.943,1000
"Model 2",2,"group_specific","(c) group-specific censoring","gs",1000,"Stacked-GMM","Intercept",-1.234,-1.09119569237104,0.142804307628957,-0.115724722551829,0.981981198761698,0.96838099010861,0.942,1000
"Model 2",2,"group_specific","(c) group-specific censoring","gs",1000,"Stacked-GMM","Age",0.0387,0.0386512518877734,-4.87481122265834e-05,-0.00125964114280577,0.00859545433870609,0.00879973576570659,0.952,1000
