"Model","Weibull_shape","Censoring","Censoring_label","IPCW_method","nsim","Estimator","Parameter","True","Estimate","Bias","Rel_Bias","Empirical_SD","Mean_SE","Coverage","Success"
"Model 1",1,"covariate_dependent","(d) covariate-dependent censoring","cox",1000,"Stacked-GMM","Age",0.0387,0.0499,0.0112,0.2889,0.0147,0.012,0.815,1000
"Model 1",1,"covariate_dependent","(d) covariate-dependent censoring","cox",1000,"Stacked-GMM","LogBili",0.8371,0.9918,0.1547,0.1848,0.1637,0.1236,0.725,1000
"Model 1",1,"covariate_dependent","(d) covariate-dependent censoring","cox",1000,"Stacked-GMM","Albumin",-1.159,-1.1989,-0.0399,0.0344,0.3285,0.2964,0.924,1000
"Model 2",2,"none","(a) no censoring","ind",1000,"PO-only","Intercept",-1.234,-1.2278,0.0062,-0.005,0.7957,0.7801,0.946,1000
"Model 2",2,"none","(a) no censoring","ind",1000,"PO-only","Age",0.0387,0.039,3e-04,0.0084,0.007,0.0071,0.958,1000
"Model 2",2,"none","(a) no censoring","ind",1000,"PO-only","LogBili",0.8371,0.84,0.0029,0.0035,0.0728,0.0722,0.945,1000
"Model 2",2,"none","(a) no censoring","ind",1000,"PO-only","Albumin",-1.159,-1.1691,-0.0101,0.0087,0.1753,0.1701,0.947,1000
"Model 2",2,"none","(a) no censoring","ind",1000,"IPCW-only","Intercept",-1.234,-1.2278,0.0062,-0.005,0.7957,0.7801,0.946,1000
"Model 2",2,"none","(a) no censoring","ind",1000,"IPCW-only","Age",0.0387,0.039,3e-04,0.0084,0.007,0.0071,0.958,1000
"Model 2",2,"none","(a) no censoring","ind",1000,"IPCW-only","LogBili",0.8371,0.84,0.0029,0.0035,0.0728,0.0722,0.945,1000
"Model 2",2,"none","(a) no censoring","ind",1000,"IPCW-only","Albumin",-1.159,-1.1691,-0.0101,0.0087,0.1753,0.1701,0.947,1000
"Model 2",2,"none","(a) no censoring","ind",1000,"Stacked-GMM","Intercept",-1.234,-1.2268,0.0072,-0.0058,0.7957,0.7801,0.946,1000
"Model 2",2,"none","(a) no censoring","ind",1000,"Stacked-GMM","Age",0.0387,0.039,3e-04,0.0082,0.007,0.0071,0.958,1000
"Model 2",2,"none","(a) no censoring","ind",1000,"Stacked-GMM","LogBili",0.8371,0.84,0.0029,0.0034,0.0728,0.0722,0.945,1000
"Model 2",2,"none","(a) no censoring","ind",1000,"Stacked-GMM","Albumin",-1.159,-1.1692,-0.0102,0.0088,0.1753,0.1701,0.947,1000
"Model 2",2,"independent","(b) independent censoring","ind",1000,"PO-only","Intercept",-1.234,-1.1896,0.0444,-0.036,1.2793,1.2006,0.933,1000
"Model 2",2,"independent","(b) independent censoring","ind",1000,"PO-only","Age",0.0387,0.0402,0.0015,0.0378,0.0116,0.0107,0.93,1000
"Model 2",2,"independent","(b) independent censoring","ind",1000,"PO-only","LogBili",0.8371,0.8565,0.0194,0.0232,0.1181,0.1173,0.934,1000
"Model 2",2,"independent","(b) independent censoring","ind",1000,"PO-only","Albumin",-1.159,-1.2011,-0.0421,0.0364,0.3015,0.2772,0.919,1000
"Model 2",2,"independent","(b) independent censoring","ind",1000,"IPCW-only","Intercept",-1.234,-1.2724,-0.0384,0.0311,1.0406,0.9911,0.937,1000
"Model 2",2,"independent","(b) independent censoring","ind",1000,"IPCW-only","Age",0.0387,0.0392,5e-04,0.013,0.0094,0.0091,0.941,1000
"Model 2",2,"independent","(b) independent censoring","ind",1000,"IPCW-only","LogBili",0.8371,0.8418,0.0047,0.0056,0.0953,0.0921,0.948,1000
"Model 2",2,"independent","(b) independent censoring","ind",1000,"IPCW-only","Albumin",-1.159,-1.1572,0.0018,-0.0015,0.2201,0.2132,0.942,1000
"Model 2",2,"independent","(b) independent censoring","ind",1000,"Stacked-GMM","Intercept",-1.234,-1.2303,0.0037,-0.003,1.0158,0.9825,0.939,1000
"Model 2",2,"independent","(b) independent censoring","ind",1000,"Stacked-GMM","Age",0.0387,0.0393,6e-04,0.0151,0.0094,0.0091,0.941,1000
"Model 2",2,"independent","(b) independent censoring","ind",1000,"Stacked-GMM","LogBili",0.8371,0.84,0.0029,0.0034,0.092,0.0913,0.953,1000
"Model 2",2,"independent","(b) independent censoring","ind",1000,"Stacked-GMM","Albumin",-1.159,-1.1694,-0.0104,0.009,0.2154,0.2122,0.951,1000
"Model 2",2,"group_specific","(c) group-specific censoring","gs",1000,"PO-only","Intercept",-1.234,-0.8693,0.3647,-0.2955,1.1959,1.1143,0.918,1000
"Model 2",2,"group_specific","(c) group-specific censoring","gs",1000,"PO-only","Age",0.0387,0.0407,0.002,0.0529,0.0102,0.01,0.941,1000
"Model 2",2,"group_specific","(c) group-specific censoring","gs",1000,"PO-only","LogBili",0.8371,0.8571,0.02,0.0239,0.1167,0.1043,0.913,1000
"Model 2",2,"group_specific","(c) group-specific censoring","gs",1000,"PO-only","Albumin",-1.159,-1.2509,-0.0919,0.0793,0.2821,0.2581,0.91,1000
"Model 2",2,"group_specific","(c) group-specific censoring","gs",1000,"IPCW-only","Intercept",-1.234,-1.2107,0.0233,-0.0188,1.0418,1.0098,0.941,1000
"Model 2",2,"group_specific","(c) group-specific censoring","gs",1000,"IPCW-only","Age",0.0387,0.039,3e-04,0.007,0.0091,0.0091,0.945,1000
